"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;
"1774102294339924045,""Sat Mar 30 15:52:02 +0000 2024"",""0"",""10 Saksi Anies-Muhaimin di Sengketa Pilpres Mundur karena Ada Intimidasi https://t.co/je98rJX10D https://t.co/je98rJX10D"",""1774102294339924045"","""","""",""in"",""indonesia"",""0"",""0"",""0"",""https://twitter.com/posaktualcom/status/1774102294339924045"",""1636627729675337734"",""posaktualcom""";;;;
"1774102114689810625,""Sat Mar 30 15:51:20 +0000 2024"",""3"",""Walaupun Anwar Usman tdk ikut sidang sengketa Pilpres? Jangan harap MK utk DISKWALIFIKASI 02. #BawasluBisaPerintahKPUutkPilpresUlang #JanganHarapMKdiskwalifikasi02 @officialMKR @bawaslu_RI INGIN INDONESIA SEHAT? LANJUT PARLEMEN JALANAN PENGADILAN RAKYAT. https://t.co/d0VJFhu1hG"",""1774102114689810625"","""","""",""in"",""Indonesia bkn Negara Komunis "",""0"",""0"",""1"",""https://twitter.com/ForRezim/status/1774102114689810625"",""1482600556669460485"",""ForRezim""";;;;
"1774101299753304505,""Sat Mar 30 15:49:34 +0000 2024"",""1"",""@antaranews Paling pengalihan isu sengketa pilpres"",""1774101671444185271"","""",""antaranews"",""in"",""Indonesia"",""0"",""0"",""0"",""https://twitter.com/dzaky_safaraz/status/1774101671444185271"",""1421851993996333057"",""dzaky_safaraz""";;;;
"1774101571275747539,""Sat Mar 30 15:49:10 +0000 2024"",""0"",""Pakar HTN Bivitri Susanti Bicara 3 'Kemungkinan' Putusan MK soal Sengketa Pilpres https://t.co/npvPwOafJf"",""1774101571275747539"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/RepelitaO/status/1774101571275747539"",""1225432911899324419"",""RepelitaO""";;;;
"1774100900875010250,""Sat Mar 30 15:46:30 +0000 2024"",""239"",""10 Saksi Anies-Muhaimin di Sengketa Pilpres Mundur karena Ada Intimidasi https://t.co/FVByPlbyu0"",""1774100900875010250"","""","""",""in"",""Indonesia"",""10"",""28"",""113"",""https://twitter.com/geloraco/status/1774100900875010250"",""3319260420"",""geloraco""";;;;
"1774100521768329385,""Sat Mar 30 15:45:00 +0000 2024"",""6"",""10 Saksi Anies-Muhaimin di Sengketa Pilpres Mundur karena Ada Intimidasi https://t.co/6RTDkowSWf"",""1774100521768329385"","""","""",""in"",""Indonesia"",""0"",""0"",""2"",""https://twitter.com/democrazymedia/status/1774100521768329385"",""1243804423001763841"",""democrazymedia""";;;;
"1773896519864971530,""Sat Mar 30 15:34:23 +0000 2024"",""0"",""@hipohan Apakah apakah apakah hal seperti ini pak lurah juga ikutan? Atau demi menenggelamkan berita sengketa pilpres koruptor timah dimunculkan?"",""1774097849166557442"","""",""hipohan"",""in"",""Kota Surabaya, Jawa Timur"",""0"",""0"",""0"",""https://twitter.com/enaknyaNgapain_/status/1774097849166557442"",""1463893339716026380"",""enaknyaNgapain_""";;;;
"1774045557826437479,""Sat Mar 30 15:30:02 +0000 2024"",""0"",""@tempodotco Berita pengalihan issue sengketa pilpres kah ini?"",""1774096756529344592"","""",""tempodotco"",""in"",""Jakarta Capital Region, Indone"",""0"",""0"",""0"",""https://twitter.com/bemshead/status/1774096756529344592"",""1604141806161395713"",""bemshead""";;;;
"1774093126820638838,""Sat Mar 30 15:15:37 +0000 2024"",""0"",""Ajg warga tiktok udah ditahap percaya sama cuplikan video sidang etik MKMK terkait arif hidayat yang udah dicatut dan dipelintir (seolah olah) itu adalah sidang putusan hasil MK terkait sengketa pilpres."",""1774093126820638838"","""","""",""in"",""Pale Blue Dot"",""1"",""0"",""0"",""https://twitter.com/fajrimuf/status/1774093126820638838"",""940824811"",""fajrimuf""";;;;
"1774086509328732600,""Sat Mar 30 14:49:19 +0000 2024"",""1"",""Pas sengketa pilpres berlangsung eh kasus kotupsi timah mencuat Kebakaran disana sini dll Tumben gak ada kasus teroris.. mkmkmkmk"",""1774086509328732600"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/Khulles1/status/1774086509328732600"",""1200588008619044864"",""Khulles1""";;;;
"1774082316882543057,""Sat Mar 30 14:32:39 +0000 2024"",""0"",""Gugatan Sengketa Hasil Pilpres 2024 yang Diajukan Paslon 01 dan 03 Berpeluang Menang https://t.co/sv7SPAoIvI #ganjar #mahfud #MK"",""1774082316882543057"","""","""",""in"",""Indonesia"",""0"",""0"",""0"",""https://twitter.com/TubasMediaCom/status/1774082316882543057"",""259697516"",""TubasMediaCom""";;;;
"1774080299229692062,""Sat Mar 30 14:24:38 +0000 2024"",""5"",""Momen Anak Yusril dan Otto Hasibuan Tampil di Sidang Sengketa Pilpres 2024 Bela Prabowo-Gibran https://t.co/urgzhCyfyN"",""1774080299229692062"","""","""",""in"",""Indonesia"",""0"",""3"",""1"",""https://twitter.com/KompasTV/status/1774080299229692062"",""71436318"",""KompasTV""";;;;
